entity_a	entity_b	section_a	section_b	tbl_id_a	tbl_id_b	label
2005 Sanfrecce Hiroshima season	Kota Hattori	Emperor's Cup	Club statistics	4446	272	noalignment
2005 Sanfrecce Hiroshima season	Kota Hattori	J. League 1	Club statistics	4440	272	noalignment
2005 Sanfrecce Hiroshima season	Kota Hattori	J. League Cup	Club statistics	4447	272	noalignment
2005 Sanfrecce Hiroshima season	Yuki Nogami	Competitions	Club statistics	4428	7793	noalignment
2005 Sanfrecce Hiroshima season	Yuki Nogami	Emperor's Cup	Club statistics	4446	7793	noalignment
2005 Sanfrecce Hiroshima season	Yuki Nogami	J. League 1	Club statistics	4440	7793	noalignment
2005 Sanfrecce Hiroshima season	Yuki Nogami	J. League Cup	Club statistics	4447	7793	noalignment
2005 Sanfrecce Hiroshima season	Yuki Nogami	Player statistics	Club statistics	4452	7793	noalignment
2012 Catalunya GP2 and GP3 Series rounds	1912 French Grand Prix	Standings after the round	Classification	5598	10141	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1912 French Grand Prix	Standings after the round	Classification	5603	10141	noalignment
2012 Catalunya GP2 and GP3 Series rounds	1913 French Grand Prix	Qualifying	Classification	5503	7038	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1913 French Grand Prix	Standings after the round	Classification	5598	7038	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1913 French Grand Prix	Standings after the round	Classification	5603	7038	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1914 French Grand Prix	Standings after the round	Classification	5598	11240	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1914 French Grand Prix	Standings after the round	Classification	5603	11240	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1921 French Grand Prix	Qualifying	Classification	5503	9779	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1921 French Grand Prix	Standings after the round	Classification	5598	9779	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1921 French Grand Prix	Standings after the round	Classification	5603	9779	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1921 Italian Grand Prix	Feature race	Classification	5277	5933	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1921 Italian Grand Prix	Qualifying	Classification	5503	5933	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1921 Italian Grand Prix	Race 1	Classification	5518	5933	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1921 Italian Grand Prix	Race 2	Classification	5552	5933	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1921 Italian Grand Prix	Sprint race	Classification	5333	5933	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1921 Italian Grand Prix	Standings after the round	Classification	5598	5933	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1921 Italian Grand Prix	Standings after the round	Classification	5603	5933	noalignment
2012 Catalunya GP2 and GP3 Series rounds	1926 British Grand Prix	Feature race	Classification	5277	3123	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 British Grand Prix	Qualifying	Classification	5503	3123	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 British Grand Prix	Race 1	Classification	5518	3123	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 British Grand Prix	Race 2	Classification	5552	3123	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 British Grand Prix	Sprint race	Classification	5333	3123	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 British Grand Prix	Standings after the round	Classification	5598	3123	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 British Grand Prix	Standings after the round	Classification	5603	3123	noalignment
2012 Catalunya GP2 and GP3 Series rounds	1926 French Grand Prix	Feature race	Classification	5277	3017	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 French Grand Prix	Qualifying	Classification	5503	3017	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 French Grand Prix	Race 1	Classification	5518	3017	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 French Grand Prix	Race 2	Classification	5552	3017	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 French Grand Prix	Sprint race	Classification	5333	3017	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 French Grand Prix	Standings after the round	Classification	5598	3017	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 French Grand Prix	Standings after the round	Classification	5603	3017	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 Italian Grand Prix	Feature race	Classification	5277	4417	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 Italian Grand Prix	Qualifying	Classification	5503	4417	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 Italian Grand Prix	Race 1	Classification	5518	4417	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 Italian Grand Prix	Race 2	Classification	5552	4417	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 Italian Grand Prix	Sprint race	Classification	5333	4417	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 Italian Grand Prix	Standings after the round	Classification	5598	4417	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 Italian Grand Prix	Standings after the round	Classification	5603	4417	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 San Sebastián Grand Prix	Qualifying	Classification	5503	6431	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 San Sebastián Grand Prix	Standings after the round	Classification	5598	6431	equivalent
2012 Catalunya GP2 and GP3 Series rounds	1926 San Sebastián Grand Prix	Standings after the round	Classification	5603	6431	equivalent
